sitename,county,aqi,status,pm2.5,datacreationdate,longigude
龍潭,桃園市,68,細懸浮微粒,普通,3,0.4
平鎮,桃園市,54,細懸浮微粒,普通,2.2,0.42
觀音,桃園市,43,,良好,0.7,0.18
大園,桃園市,53,細懸浮微粒,普通,3.5,0.28
桃園,桃園市,55,細懸浮微粒,普通,4,0.44
大同,臺北市,62,二氧化氮,普通,1.1,1.47
松山,臺北市,32,,良好,2,0.23
古亭,臺北市,36,,良好,1.3,0.2
萬華,臺北市,36,,良好,0.6,0.31
中山,臺北市,35,,良好,0.9,0.28
士林,臺北市,39,,良好,0.6,0.2
淡水,新北市,33,,良好,,0.29
林口,新北市,43,,良好,2,0.29
菜寮,新北市,35,,良好,0.6,0.36
新莊,新北市,38,,良好,0.5,0.22
板橋,新北市,38,,良好,0.6,0.37
土城,新北市,33,,良好,,0.3
新店,新北市,37,,良好,0.5,0.21
萬里,新北市,39,,良好,0.1,0.19
汐止,新北市,32,,良好,0.6,0.22
基隆,基隆市,39,,良好,0.8,0.2
屏東(枋山),屏東縣,105,細懸浮微粒,對敏感族群不健康,2.3,0.34
花蓮（美崙）,花蓮縣,32,,良好,0.1,0.14
新北（樹林）,新北市,59,懸浮微粒,普通,3.9,0.34
台中市（和平區消防隊）,臺中市,39,,良好,0.8,0.31
屏東（琉球）,屏東縣,105,細懸浮微粒,對敏感族群不健康,1.7,0.25
臺南（麻豆）,臺南市,82,細懸浮微粒,普通,1.8,0.2
高雄（湖內）,高雄市,130,細懸浮微粒,對敏感族群不健康,,
宜蘭（頭城）,宜蘭縣,36,,良好,1.4,0.14
員林,彰化縣,79,細懸浮微粒,普通,1.8,0.27
大城,彰化縣,59,細懸浮微粒,普通,0.9,0.16
富貴角,新北市,39,,良好,0.9,0.15
麥寮,雲林縣,65,細懸浮微粒,普通,1.2,0.2
關山,臺東縣,26,,良好,0.9,0.16
馬公,澎湖縣,54,細懸浮微粒,普通,1.2,0.18
金門,金門縣,70,細懸浮微粒,普通,1.4,0.29
馬祖,連江縣,60,懸浮微粒,普通,1.5,0.23
埔里,南投縣,34,,良好,1.3,0.28
復興,高雄市,117,細懸浮微粒,對敏感族群不健康,1.8,0.32
永和,新北市,29,,良好,0.4,0.27
竹山,南投縣,83,細懸浮微粒,普通,2.6,0.29
中壢,桃園市,65,細懸浮微粒,普通,1.6,0.6
三重,新北市,55,二氧化氮,普通,0.5,0.98
冬山,宜蘭縣,35,,良好,0.5,0.18
宜蘭,宜蘭縣,34,,良好,0.9,0.18
陽明,臺北市,40,,良好,0.8,0.21
花蓮,花蓮縣,34,,良好,1,0.2
臺東,臺東縣,32,,良好,0.8,0.21
恆春,屏東縣,40,,良好,0.5,0.14
潮州,屏東縣,103,細懸浮微粒,對敏感族群不健康,2.3,0.28
屏東,屏東縣,99,細懸浮微粒,普通,3.1,0.37
小港,高雄市,110,細懸浮微粒,對敏感族群不健康,2.7,0.26
前鎮,高雄市,115,細懸浮微粒,對敏感族群不健康,1.8,0.29
前金,高雄市,108,細懸浮微粒,對敏感族群不健康,1.5,0.29
左營,高雄市,116,細懸浮微粒,對敏感族群不健康,1.6,0.25
楠梓,高雄市,111,細懸浮微粒,對敏感族群不健康,2.2,0.28
林園,高雄市,102,細懸浮微粒,對敏感族群不健康,1.4,0.29
大寮,高雄市,114,細懸浮微粒,對敏感族群不健康,1.7,0.3
鳳山,高雄市,107,細懸浮微粒,對敏感族群不健康,2.4,0.61
仁武,高雄市,118,細懸浮微粒,對敏感族群不健康,1.4,0.27
橋頭,高雄市,119,細懸浮微粒,對敏感族群不健康,2.1,0.32
美濃,高雄市,67,細懸浮微粒,普通,1.4,0.29
臺南,臺南市,95,細懸浮微粒,普通,1.6,0.25
安南,臺南市,86,懸浮微粒,普通,1.2,0.24
善化,臺南市,90,細懸浮微粒,普通,1.9,0.19
新營,臺南市,86,細懸浮微粒,普通,,
嘉義,嘉義市,83,細懸浮微粒,普通,,
臺西,雲林縣,65,細懸浮微粒,普通,2.3,0.2
朴子,嘉義縣,70,細懸浮微粒,普通,2.4,0.25
新港,嘉義縣,75,細懸浮微粒,普通,1.2,0.21
崙背,雲林縣,82,細懸浮微粒,普通,,
斗六,雲林縣,87,細懸浮微粒,普通,2.1,0.27
南投,南投縣,61,細懸浮微粒,普通,1.6,0.29
二林,彰化縣,73,細懸浮微粒,普通,1.9,0.21
線西,彰化縣,67,細懸浮微粒,普通,1.8,0.21
彰化,彰化縣,68,細懸浮微粒,普通,1.2,0.24
西屯,臺中市,60,細懸浮微粒,普通,1.5,0.22
忠明,臺中市,64,細懸浮微粒,普通,2.1,0.27
大里,臺中市,70,細懸浮微粒,普通,,
沙鹿,臺中市,63,細懸浮微粒,普通,1.3,0.21
豐原,臺中市,69,細懸浮微粒,普通,4.2,0.29
三義,苗栗縣,40,,良好,,
苗栗,苗栗縣,49,,良好,2.8,0.18
頭份,苗栗縣,48,,良好,2,0.2
新竹,新竹市,50,,良好,1.3,0.22
竹東,新竹縣,49,,良好,0.6,0.31
湖口,新竹縣,51,細懸浮微粒,普通,1.6,0.24
龍潭,桃園市,68,細懸浮微粒,普通,2.7,0.42
平鎮,桃園市,55,細懸浮微粒,普通,2.1,0.36
觀音,桃園市,41,,良好,1,0.17
大園,桃園市,52,細懸浮微粒,普通,4.2,0.33
桃園,桃園市,54,細懸浮微粒,普通,2.5,0.34
大同,臺北市,36,,良好,,
松山,臺北市,30,,良好,1.7,0.22
古亭,臺北市,34,,良好,1.3,0.2
萬華,臺北市,31,,良好,0.5,0.29
中山,臺北市,32,,良好,0.7,0.25
士林,臺北市,37,,良好,0.5,0.21
淡水,新北市,32,,良好,,
林口,新北市,39,,良好,2.1,0.26
菜寮,新北市,34,,良好,0.5,0.33
新莊,新北市,37,,良好,0.5,0.2
板橋,新北市,30,,良好,,0.29
土城,新北市,30,,良好,,0.26
新店,新北市,34,,良好,0.4,0.2
萬里,新北市,37,,良好,0.1,0.19
汐止,新北市,29,,良好,0.8,0.22
基隆,基隆市,37,,良好,0.7,0.22
屏東(枋山),屏東縣,104,細懸浮微粒,對敏感族群不健康,2.2,0.33
花蓮（美崙）,花蓮縣,30,,良好,0,0.14
新北（樹林）,新北市,58,二氧化氮,普通,3,0.37
台中市（和平區消防隊）,臺中市,32,,良好,1,0.33
屏東（琉球）,屏東縣,112,細懸浮微粒,對敏感族群不健康,2,0.27
臺南（麻豆）,臺南市,84,細懸浮微粒,普通,1.8,0.19
高雄（湖內）,高雄市,130,細懸浮微粒,對敏感族群不健康,2.6,0.25
宜蘭（頭城）,宜蘭縣,30,,良好,1.3,0.15
員林,彰化縣,84,細懸浮微粒,普通,1.7,0.25
大城,彰化縣,56,細懸浮微粒,普通,0.9,0.16
富貴角,新北市,37,,良好,0.7,0.15
麥寮,雲林縣,63,細懸浮微粒,普通,1.2,0.19
關山,臺東縣,23,,良好,,0.21
馬公,澎湖縣,52,細懸浮微粒,普通,1,0.18
金門,金門縣,62,細懸浮微粒,普通,1.3,0.27
馬祖,連江縣,60,懸浮微粒,普通,1.5,0.25
埔里,南投縣,32,,良好,1.3,0.22
復興,高雄市,124,細懸浮微粒,對敏感族群不健康,2.2,0.32
永和,新北市,26,,良好,0.2,0.3
竹山,南投縣,78,細懸浮微粒,普通,2.6,0.31
中壢,桃園市,64,二氧化氮,普通,1.2,0.78
三重,新北市,53,二氧化氮,普通,0.6,0.84
冬山,宜蘭縣,38,,良好,0.6,0.22
宜蘭,宜蘭縣,31,,良好,0.7,0.18
陽明,臺北市,40,,良好,0.9,0.23
花蓮,花蓮縣,31,,良好,0.9,0.19
臺東,臺東縣,31,,良好,0.7,0.2
恆春,屏東縣,40,,良好,0.4,0.14
潮州,屏東縣,104,細懸浮微粒,對敏感族群不健康,3.4,0.4
屏東,屏東縣,92,細懸浮微粒,普通,2.7,0.39
小港,高雄市,115,細懸浮微粒,對敏感族群不健康,3.1,0.28
前鎮,高雄市,122,細懸浮微粒,對敏感族群不健康,2.6,0.32
前金,高雄市,115,細懸浮微粒,對敏感族群不健康,1.8,0.32
左營,高雄市,127,細懸浮微粒,對敏感族群不健康,1.8,0.27
楠梓,高雄市,110,細懸浮微粒,對敏感族群不健康,2.5,0.3
林園,高雄市,112,細懸浮微粒,對敏感族群不健康,1.5,0.3
大寮,高雄市,122,細懸浮微粒,對敏感族群不健康,,
鳳山,高雄市,108,細懸浮微粒,對敏感族群不健康,,
仁武,高雄市,124,細懸浮微粒,對敏感族群不健康,1.6,0.3
橋頭,高雄市,125,細懸浮微粒,對敏感族群不健康,2.2,0.31
美濃,高雄市,64,細懸浮微粒,普通,1.4,0.28
臺南,臺南市,98,細懸浮微粒,普通,1.5,0.26
安南,臺南市,85,細懸浮微粒,普通,1.3,0.24
善化,臺南市,90,細懸浮微粒,普通,1.9,0.19
新營,臺南市,87,細懸浮微粒,普通,1.3,0.24
嘉義,嘉義市,88,細懸浮微粒,普通,2.1,0.23
臺西,雲林縣,62,細懸浮微粒,普通,1.8,0.2
朴子,嘉義縣,68,細懸浮微粒,普通,,
新港,嘉義縣,74,細懸浮微粒,普通,1.3,0.2
崙背,雲林縣,80,細懸浮微粒,普通,1.3,0.2
斗六,雲林縣,91,細懸浮微粒,普通,1.9,0.26
南投,南投縣,57,細懸浮微粒,普通,1.7,0.28
二林,彰化縣,72,細懸浮微粒,普通,1.7,0.19
線西,彰化縣,65,細懸浮微粒,普通,2.1,0.23
彰化,彰化縣,72,細懸浮微粒,普通,1,0.22
西屯,臺中市,64,細懸浮微粒,普通,1.4,0.21
忠明,臺中市,66,細懸浮微粒,普通,1.9,0.25
大里,臺中市,74,細懸浮微粒,普通,1.6,0.3
沙鹿,臺中市,63,細懸浮微粒,普通,1.4,0.2
豐原,臺中市,67,細懸浮微粒,普通,4.8,0.29
三義,苗栗縣,40,,良好,1.6,0.24
苗栗,苗栗縣,52,細懸浮微粒,普通,2.9,0.2
頭份,苗栗縣,49,,良好,2,0.23
新竹,新竹市,52,細懸浮微粒,普通,1.6,0.25
竹東,新竹縣,52,細懸浮微粒,普通,0.6,0.28
湖口,新竹縣,49,,良好,1.9,0.28
龍潭,桃園市,64,細懸浮微粒,普通,2.8,0.4
平鎮,桃園市,57,細懸浮微粒,普通,1.9,0.41
觀音,桃園市,46,,良好,1.7,0.16
大園,桃園市,53,細懸浮微粒,普通,2.9,0.33
桃園,桃園市,53,細懸浮微粒,普通,2.4,0.4
大同,臺北市,59,二氧化氮,普通,1.2,1.16
松山,臺北市,26,,良好,1.8,0.21
古亭,臺北市,31,,良好,1.3,0.21
萬華,臺北市,29,,良好,0.4,0.26
中山,臺北市,28,,良好,,
士林,臺北市,36,,良好,0.6,0.22
淡水,新北市,34,,良好,1.1,0.18
林口,新北市,39,,良好,2.3,0.28
菜寮,新北市,31,,良好,0.7,0.28
新莊,新北市,32,,良好,0.7,0.21
板橋,新北市,26,,良好,1.7,0.28
土城,新北市,27,,良好,,
新店,新北市,31,,良好,0.4,0.21
萬里,新北市,33,,良好,0.1,0.18
汐止,新北市,25,,良好,0.9,0.22
基隆,基隆市,32,,良好,0.8,0.22
屏東(枋山),屏東縣,96,細懸浮微粒,普通,4.2,0.46
花蓮（美崙）,花蓮縣,28,,良好,0.1,0.13
新北（樹林）,新北市,57,二氧化氮,普通,3.9,
台中市（和平區消防隊）,臺中市,26,,良好,0.8,0.31
屏東（琉球）,屏東縣,112,細懸浮微粒,對敏感族群不健康,2.4,0.33
臺南（麻豆）,臺南市,85,細懸浮微粒,普通,2.2,0.2
高雄（湖內）,高雄市,134,細懸浮微粒,對敏感族群不健康,,
宜蘭（頭城）,宜蘭縣,25,,良好,1.3,0.15
員林,彰化縣,88,細懸浮微粒,普通,2.5,0.25
大城,彰化縣,56,細懸浮微粒,普通,0.8,0.16
富貴角,新北市,38,,良好,1,0.15
麥寮,雲林縣,62,細懸浮微粒,普通,1.2,0.19
關山,臺東縣,22,,良好,,0.19
馬公,澎湖縣,52,細懸浮微粒,普通,1.1,0.19
金門,金門縣,62,細懸浮微粒,普通,1.1,0.25
馬祖,連江縣,61,細懸浮微粒,普通,1.4,0.24
埔里,南投縣,38,,良好,1.1,0.19
復興,高雄市,131,細懸浮微粒,對敏感族群不健康,2.7,0.37
永和,新北市,25,,良好,0.4,0.32
竹山,南投縣,72,細懸浮微粒,普通,2.4,0.37
中壢,桃園市,59,細懸浮微粒,普通,1,0.61
三重,新北市,60,二氧化氮,普通,1.2,0.72
冬山,宜蘭縣,40,,良好,0.5,0.22
宜蘭,宜蘭縣,28,,良好,0.6,0.2
陽明,臺北市,39,,良好,1.4,0.24
花蓮,花蓮縣,29,,良好,0.9,0.18
臺東,臺東縣,31,,良好,0.6,0.21
恆春,屏東縣,40,,良好,0.7,0.14
潮州,屏東縣,105,細懸浮微粒,對敏感族群不健康,5.2,0.52
屏東,屏東縣,85,細懸浮微粒,普通,1.8,0.31
小港,高雄市,117,細懸浮微粒,對敏感族群不健康,3.2,0.34
前鎮,高雄市,126,細懸浮微粒,對敏感族群不健康,2.9,0.34
前金,高雄市,118,細懸浮微粒,對敏感族群不健康,1.7,0.33
左營,高雄市,131,細懸浮微粒,對敏感族群不健康,1.9,0.3
楠梓,高雄市,111,細懸浮微粒,對敏感族群不健康,2.5,0.32
林園,高雄市,120,細懸浮微粒,對敏感族群不健康,1.7,0.32
大寮,高雄市,117,細懸浮微粒,對敏感族群不健康,2.1,0.45
鳳山,高雄市,111,細懸浮微粒,對敏感族群不健康,2.6,0.61
仁武,高雄市,130,細懸浮微粒,對敏感族群不健康,1.7,0.34
橋頭,高雄市,129,細懸浮微粒,對敏感族群不健康,2.1,0.33
美濃,高雄市,62,細懸浮微粒,普通,1,0.26
臺南,臺南市,102,細懸浮微粒,對敏感族群不健康,1.9,0.28
安南,臺南市,86,細懸浮微粒,普通,1.6,0.26
善化,臺南市,93,細懸浮微粒,普通,2.4,0.22
新營,臺南市,86,細懸浮微粒,普通,1.8,0.25
嘉義,嘉義市,88,細懸浮微粒,普通,2.5,0.24
臺西,雲林縣,60,細懸浮微粒,普通,1.6,0.2
朴子,嘉義縣,67,細懸浮微粒,普通,3.5,0.25
新港,嘉義縣,76,細懸浮微粒,普通,1.5,0.2
崙背,雲林縣,80,細懸浮微粒,普通,1.4,0.21
斗六,雲林縣,94,細懸浮微粒,普通,1.9,0.28
南投,南投縣,54,細懸浮微粒,普通,1.9,0.35
二林,彰化縣,76,細懸浮微粒,普通,2.2,0.2
線西,彰化縣,64,細懸浮微粒,普通,1.3,0.19
彰化,彰化縣,76,細懸浮微粒,普通,1,0.22
西屯,臺中市,65,細懸浮微粒,普通,1.4,0.2
忠明,臺中市,68,細懸浮微粒,普通,1.8,0.25
大里,臺中市,73,細懸浮微粒,普通,1.7,0.31
沙鹿,臺中市,66,細懸浮微粒,普通,1.4,0.19
豐原,臺中市,68,細懸浮微粒,普通,6.5,0.34
三義,苗栗縣,37,,良好,1.7,0.24
苗栗,苗栗縣,54,細懸浮微粒,普通,2.5,0.19
頭份,苗栗縣,53,細懸浮微粒,普通,2,0.25
新竹,新竹市,56,細懸浮微粒,普通,1.9,0.28
竹東,新竹縣,51,細懸浮微粒,普通,0.5,0.28
湖口,新竹縣,51,細懸浮微粒,普通,1.9,0.36
龍潭,桃園市,55,細懸浮微粒,普通,2.8,0.38
平鎮,桃園市,55,細懸浮微粒,普通,1.8,0.41
觀音,桃園市,51,細懸浮微粒,普通,1.6,0.22
大園,桃園市,55,細懸浮微粒,普通,3.5,0.33
桃園,桃園市,53,二氧化氮,普通,2.7,0.45
大同,臺北市,53,二氧化氮,普通,0.9,0.67
松山,臺北市,23,,良好,1.9,0.22
古亭,臺北市,27,,良好,1.2,0.21
萬華,臺北市,26,,良好,0.4,0.27
中山,臺北市,31,,良好,0.9,0.29
士林,臺北市,34,,良好,1,0.24
淡水,新北市,34,,良好,1.7,0.22
林口,新北市,40,,良好,3.5,0.35
菜寮,新北市,38,,良好,1.3,0.35
新莊,新北市,31,,良好,0.9,0.26
板橋,新北市,25,,良好,,
土城,新北市,27,,良好,1.1,0.29
新店,新北市,29,,良好,0.4,0.2
萬里,新北市,31,,良好,0.1,0.2
汐止,新北市,24,,良好,0.8,0.25
基隆,基隆市,28,,良好,0.7,0.21
屏東(枋山),屏東縣,81,細懸浮微粒,普通,6.3,0.61
花蓮（美崙）,花蓮縣,25,,良好,0.1,0.14
新北（樹林）,新北市,53,二氧化氮,普通,1.7,
台中市（和平區消防隊）,臺中市,26,,良好,0.4,0.26
屏東（琉球）,屏東縣,110,細懸浮微粒,對敏感族群不健康,2.9,0.36
臺南（麻豆）,臺南市,88,細懸浮微粒,普通,,
高雄（湖內）,高雄市,136,細懸浮微粒,對敏感族群不健康,3.5,0.45
宜蘭（頭城）,宜蘭縣,25,,良好,1.4,0.15
員林,彰化縣,90,細懸浮微粒,普通,3.8,0.37
大城,彰化縣,55,細懸浮微粒,普通,0.8,0.16
富貴角,新北市,37,,良好,1,0.15
麥寮,雲林縣,58,細懸浮微粒,普通,1.1,0.19
關山,臺東縣,22,,良好,,0.18
馬公,澎湖縣,51,懸浮微粒,普通,1,0.2
金門,金門縣,60,細懸浮微粒,普通,1.1,0.24
馬祖,連江縣,60,細懸浮微粒,普通,1.5,0.25
埔里,南投縣,46,,良好,1.1,0.21
復興,高雄市,133,細懸浮微粒,對敏感族群不健康,3,0.47
永和,新北市,25,,良好,0.6,0.42
竹山,南投縣,66,細懸浮微粒,普通,1.3,0.36
中壢,桃園市,58,二氧化氮,普通,1,0.72
三重,新北市,55,二氧化氮,普通,0.9,0.62
冬山,宜蘭縣,47,,良好,0.6,0.22
宜蘭,宜蘭縣,25,,良好,0.7,0.24
陽明,臺北市,38,,良好,1.1,0.23
花蓮,花蓮縣,30,,良好,0.9,0.2
臺東,臺東縣,30,,良好,0.8,0.22
恆春,屏東縣,39,,良好,0.7,0.15
潮州,屏東縣,93,細懸浮微粒,普通,7.2,0.4
屏東,屏東縣,89,細懸浮微粒,普通,1.3,0.28
小港,高雄市,115,細懸浮微粒,對敏感族群不健康,2.9,0.39
前鎮,高雄市,125,細懸浮微粒,對敏感族群不健康,3.8,0.44
前金,高雄市,120,細懸浮微粒,對敏感族群不健康,2.1,0.39
左營,高雄市,133,細懸浮微粒,對敏感族群不健康,2.2,0.42
楠梓,高雄市,111,細懸浮微粒,對敏感族群不健康,2.8,0.41
林園,高雄市,123,細懸浮微粒,對敏感族群不健康,,
大寮,高雄市,116,細懸浮微粒,對敏感族群不健康,5.2,0.58
鳳山,高雄市,111,細懸浮微粒,對敏感族群不健康,2.9,0.6
仁武,高雄市,130,細懸浮微粒,對敏感族群不健康,2,0.45
橋頭,高雄市,128,細懸浮微粒,對敏感族群不健康,2.6,0.44
美濃,高雄市,62,細懸浮微粒,普通,0.9,0.25
臺南,臺南市,104,細懸浮微粒,對敏感族群不健康,2.2,0.36
安南,臺南市,87,細懸浮微粒,普通,1.5,0.3
善化,臺南市,94,細懸浮微粒,普通,2.4,0.29
新營,臺南市,87,細懸浮微粒,普通,1.8,0.29
嘉義,嘉義市,91,細懸浮微粒,普通,2.9,0.31
臺西,雲林縣,57,懸浮微粒,普通,1.2,0.2
朴子,嘉義縣,66,細懸浮微粒,普通,4,0.28
新港,嘉義縣,84,細懸浮微粒,普通,,
崙背,雲林縣,84,細懸浮微粒,普通,,
斗六,雲林縣,91,細懸浮微粒,普通,2.1,0.39
